Year_Month,Mean_Sea_Level,North_Extent,South_Extent,Moving_Average_North,Moving_Average_South
1981-05-01,,13.801625,9.354625,11.037804432879566,11.638666180710048
1981-06-01,,12.429733333333333,13.108533333333332,11.103374432879567,11.591743680710048
1981-07-01,,10.270999999999999,16.038733333333333,11.135094862987094,11.573579092896429
1981-08-01,,7.8443125,17.7365,11.119032467153762,11.590071870674207
1981-09-01,,7.138466666666667,18.596466666666668,11.077239850666304,11.651717695046965
1981-10-01,,8.856266666666667,18.293733333333332,11.036630244931537,11.757049881426894
1981-11-01,,10.929,16.11133333333333,11.00642737136832,11.86170064771042
1981-12-01,,13.341125,10.8948125,10.990967929164018,11.914571934672784
1982-01-01,,15.176733333333335,5.260066666666666,10.995559318052907,11.897495545783896
1982-02-01,,15.9735,3.1285,11.020240097622798,11.836424712450563
1982-03-01,,16.043875,4.2878125,11.064984611511687,11.759267594395007
1982-04-01,,15.466000000000001,7.722933333333333,11.129936493232119,11.687808705506118
1982-05-01,,13.9732,10.758333333333333,11.20701907387728,11.626653418767768
1982-06-01,,12.476066666666666,13.416733333333333,11.281272962766169,11.5783942521011
1982-07-01,,10.3670625,15.872187499999999,11.318616225534985,11.555713556536585
1982-08-01,,8.139533333333334,17.7892,11.308212614423875,11.569707445425474
1982-09-01,,7.301733333333333,18.35346666666667,11.2690071663952,11.63603445259393
1982-10-01,,9.4210625,17.788375,11.233327310884448,11.73807682490576
1982-11-01,,11.627466666666667,15.5366,11.207526735487622,11.83557825347719
1982-12-01,,13.6418,9.215666666666667,11.195941466670417,11.870563916559627
1983-01-01,,14.9424375,4.7705,11.201305668059307,11.846796138781848
1983-02-01,,16.00614285714286,3.0702857142857143,11.226379707997864,11.781384003605195
1983-03-01,,16.085266666666666,4.015666666666666,11.265755819108977,11.69689094804964
1983-04-01,,15.172066666666666,6.4704,11.32442572950324,11.6107397114905
1983-05-01,,13.4913125,9.526,11.386740699261304,11.534591593210932
1983-06-01,,12.295666666666667,12.6426,11.445802365927971,11.478374370988709
1983-07-01,,10.570266666666667,15.466666666666667,11.471764265569549,11.448781808264695
1983-08-01,,8.185875,17.250812500000002,11.457154612791772,11.45193719020914
1983-09-01,,7.3946,18.5852,11.41724079558747,11.50803401816613
1983-10-01,,9.334066666666667,17.915333333333333,11.381295652218293,11.604605075513797
1983-11-01,,11.461,16.0142,11.356657556980199,11.706031742180466
1983-12-01,,13.2984375,10.393875,11.344498568404928,11.751801399438529
1984-01-01,,14.473266666666666,4.778666666666667,11.347710235071597,11.722098621660754
1984-02-01,,15.298933333333334,2.6772666666666667,11.36936209887088,11.648414553560395
1984-03-01,,15.584200000000001,3.6123333333333334,11.40729209887088,11.556128442449282
